Carry On Wayward Son,Leftoverture,Kansas,1976,00:05:25,325,0
Mr. Blue Sky,Out  Of The Blue,ELO,1977,00:05:02,302,1
Constellations,Notos,The Oh Hellos,2017,00:03:48,228,2
Hieroglyphs,Eurus,The Oh Hellos,2018,00:03:00,180,3
Glowing,Boreas,The Oh Hellos,2020,00:03:36,216,8
Soap,Zephyrus,The Oh Hellos,2020,00:03:35,215,5
Isle Unto Thyself,Hawaii: Part II,Miracle Musical,2012,00:03:47,227,6
Study Me,Gusare,Zutomayo,2021,00:04:48,288,7
Bohemian Rhapsody,A Night At The Opera,Queen,1975,00:05:55,355,9
&,Good & Evil,Tally Hall,2011,00:03:14,194,10
Ruler of Everything,Marvin's Marvelous,Tally Hall,2005,00:03:44,224,11
